FROM	TO	R(pu)	X(pu)	Bsh (pu)	Tap	PHI
34	88	       0.0149	       0.1609	        0.277	1	0
35	25	       0.0028	       0.0399	1.7768	1	0
35	42	       0.0027	       0.0387	1.7201	1	0
36	35	0	      0.01113	0	1	0
36	35	0	         0.01	0	1	0
42	25	      0.00125	      0.01937	       0.7498	1	0
42	37	0	     0.013567	0	1	0
42	45	      0.00082	      0.01256	      0.49495	1	0
43	38	0	     0.026325	0	1	0
43	44	0	       0.0216	0	1	0
43	44	0	       0.0216	0	1	0
43	45	        0.001	      0.01519	      0.59835	1	0
43	46	       0.0028	       0.0484	20.975	1	0
44	21	       0.0007	       0.0076	     0.061435	1	0
44	47	       0.0024	       0.0274	      0.22735	1	0
45	39	0	     0.019367	0	1	0
46	40	0	     0.010575	0	1	0
46	49	     0.000931	     0.013758	       0.5615	1	0
47	41	0	        0.022	0	1.025	0
49	48	0	      0.01025	0	1	0
50	49	0	      0.01533	0	1	0
50	49	0	       0.0142	0	1	0
54	61	      0.00032	      0.01146	0	       0.9652	0
54	61	      0.00031	     0.001651	0	       0.9652	0
55	51	0	       0.0168	0	1.024	0
55	69	       0.0001	      0.00124	      0.07602	1	0
55	69	       0.0001	      0.00126	      0.07714	1	0
56	70	      0.02444	      0.12652	      0.10853	1	0
57	58	0	       0.0664	0	1	0
57	58	0	       0.0629	0	1	0
57	64	       0.0113	       0.0699	     0.063085	1	0
57	82	       0.0122	       0.0769	      0.06905	1	0
57	87	       0.0022	       0.0109	    0.0093005	1	0
57	87	       0.0017	       0.0103	     0.010269	1	0
60	53	0	       0.0105	0	1	0
60	69	      0.00052	      0.00654	      0.40246	1	0
60	83	      0.00056	      0.00697	      0.42873	1	0
61	17	      0.00308	      0.03958	2.2242	1	0
61	17	      0.00308	      0.03958	2.2242	1	0
62	63	       0.0005	       0.0073	       0.3903	1	0
63	52	0	       0.0102	0	1.024	0
64	59	0	       0.0636	0	1	0
64	82	       0.0015	       0.0089	    0.0081585	1	0
69	61	        0.002	       0.0255	1.5636	1	0
69	73	      0.00162	      0.02048	1.2509	1	0
69	74	        0.002	       0.0269	1.682	1	0
70	69	      0.00031	      0.01207	0	       0.9747	0
70	82	      0.03045	      0.15738	      0.13562	1	0
70	82	      0.03041	      0.15718	      0.13544	1	0
71	73	     0.002556	     0.029224	1.802	1	0
71	74	      0.00127	      0.01603	      0.97945	1	0
72	71	      0.00031	       0.0115	0	       0.9586	0
72	71	      0.00032	      0.01163	0	       0.9586	0
72	71	0	      0.01277	0	       0.9586	0
72	80	      0.01271	      0.06562	     0.056525	1	0
72	80	      0.01283	      0.06564	      0.05761	1	0
73	76	     0.001877	     0.023467	1.4362	1	0
74	61	       0.0005	       0.0044	       0.2379	1	0
75	56	       0.0221	      0.11475	     0.098435	1	0
75	74	      0.00032	      0.01163	0	       0.9917	0
75	74	      0.00031	      0.01166	0	       0.9917	0
75	80	      0.01892	      0.09776	     0.084225	1	0
75	80	      0.01895	      0.09704	     0.085145	1	0
76	78	     0.000733	     0.009164	      0.56085	1	0
77	76	       0.0002	      0.01211	0	       0.9717	0
77	76	       0.0002	      0.01233	0	       0.9717	0
78	79	      0.00282	      0.03852	2.4685	1	0
79	65	0	     0.011538	0	1	0
79	76	     0.001643	     0.030339	1.7744	1	0
79	81	      0.00073	       0.0092	       0.5613	1	0
79	83	      0.00172	       0.0217	1.3258	1	0
81	66	0	     0.020655	0	1	0
81	73	      0.00047	       0.0059	      0.35909	1	0
82	67	0	     0.017022	0	1.025	0
83	63	      0.00076	      0.01171	       0.6229	1	0
83	68	0	      0.01515	0	1.024	0
84	78	       0.0003	      0.01219	0	         1.01	0
84	78	      0.00039	      0.01138	0	         1.01	0
84	78	      0.00036	      0.01217	0	         1.01	0
85	86	0	        0.052	0	1	0
87	62	0	       0.0127	0	       0.9938	0
88	90	       0.0376	       0.2068	       0.1783	1	0
88	90	       0.0164	       0.1246	       0.3075	1	0
89	91	0	       0.2071	0	1	0
90	89	       0.0153	        0.076	      0.07125	1	0
90	93	       0.0325	       0.1792	      0.16375	1	0
90	93	       0.0325	       0.1792	      0.16375	1	0
90	102	0	       0.0795	0	1	0
90	102	0	       0.0795	0	1	0
93	92	0	        0.143	0	1	0
93	94	0	        0.086	0	1	0
93	94	0	        0.086	0	1	0
93	94	0	        0.086	0	1	0
93	95	       0.0162	       0.0968	      0.09575	1	0
94	101	0	     0.037635	0	1	0
95	96	       0.0183	       0.1093	        0.093	1	0
96	98	        0.014	       0.0838	        0.085	1	0
97	98	       0.0094	       0.0559	      0.05322	1	0
97	99	       0.0124	       0.0738	       0.0664	1	0
100	5	0	        0.064	0	1	0
100	95	         0.01	       0.0617	        0.063	1	0
102	94	       0.1706	        0.455	      0.05695	1	0
103	94	        0.009	       0.0231	       0.0029	1	0
103	94	        0.009	       0.0231	       0.0029	1	0
105	104	0	      0.13333	0	1	0
105	106	      0.03089	      0.08134	     0.010425	1	0
105	106	      0.03089	      0.08134	     0.010425	1	0
107	93	       0.0257	       0.2368	       0.4871	1	0
107	93	       0.0257	       0.2368	       0.4871	1	0
107	106	0	       0.0405	0	1	0
